Array Length,Presorted Rate,Duplicate Rate,Max Digits,Fastest Sort
98,0.4433,0.1633,7,I
63,0.5323,0.2063,7,I
51,0.46,0.0588,8,I
88,0.5287,0.25,8,I
6,0.4,0.3333,8,I
95,0.3723,0.1158,8,I
95,0.5213,0.1895,8,I
4,0.6667,0.25,3,I
53,0.3846,0.1698,8,I
52,0.3922,0.2308,9,I
2,1,0.5,4,I
89,0.3523,0.1124,9,I
28,0.5185,0.1786,9,I
78,0.3636,0.0641,9,I
88,0.4138,0.1477,9,I
56,0.4545,0.2321,9,I
52,0.3922,0.1346,10,I
61,0.5,0.1967,10,I
3,0.5,0.3333,8,I
65,0.5,0.2308,10,I
34,0.4242,0.1471,9,I
8,0.4286,0.25,8,I
59,0.4138,0.0169,9,I
6,0.6,0.5,1,I
80,0.4937,0.075,10,I
30,0.4483,0.1667,10,I
17,0.375,0.1176,10,I
33,0.4375,0.0606,10,I
84,0.5301,0.1786,10,I
25,0.5833,0.2,10,I
69,0.7941,0.7681,1,I
12,0.7273,0.5833,1,I
49,0.7292,0.7143,1,I
40,0.7179,0.675,1,I
74,0.8219,0.7973,1,I
84,0.8193,0.7976,1,I
3,0.5,0.3333,1,I
83,0.622,0.4819,2,I
15,0.6429,0.6,2,I
18,0.4118,0.2778,2,I
48,0.6383,0.5625,2,I
95,0.7128,0.6526,2,I
11,0.6,0.4545,1,I
30,0.6897,0.6667,1,I
64,0.5079,0.3906,3,I
56,0.4909,0.3571,3,I
48,0.5745,0.5625,2,I
60,0.6271,0.5167,2,I
30,0.5862,0.4,2,I
54,0.5283,0.4074,2,I
95,0.6702,0.5474,2,I
25,0.4167,0.4,3,I
68,0.5373,0.3971,3,I
74,0.5753,0.3919,3,I
50,0.6735,0.46,3,I
94,0.5914,0.4681,3,I
27,0.6923,0.5556,3,I
6,0.6,0.5,3,I
24,0.5217,0.3333,4,I
28,0.4444,0.2857,4,I
70,0.5797,0.4,4,I
82,0.5309,0.3902,4,I
49,0.5,0.3061,4,I
2,1,0.5,4,I
91,0.6,0.4505,3,I
17,0.625,0.4706,4,I
88,0.6322,0.4886,5,I
93,0.6413,0.4516,5,I
31,0.5667,0.5161,4,I
53,0.5,0.4151,4,I
8,0.5714,0.375,4,I
26,0.52,0.4615,4,I
65,0.5938,0.4769,5,I
97,0.4896,0.3196,5,I
10,0.5556,0.4,5,I
72,0.507,0.4167,5,I
46,0.5111,0.413,5,I
64,0.4762,0.3906,5,I
7,0.6667,0.5714,4,I
25,0.5,0.4,6,I
57,0.5536,0.4035,6,I
14,0.4615,0.3571,6,I
93,0.5435,0.4086,6,Q
45,0.5,0.3111,6,I
32,0.5806,0.4063,6,I
1,1,0,6,M
71,0.5857,0.2958,7,I
79,0.5513,0.3038,7,I
30,0.6207,0.4667,7,I
25,0.625,0.52,7,I
1,1,0,5,I
85,0.5833,0.3176,6,I
34,0.6061,0.3824,6,I
2,1,0.5,3,I
39,0.5789,0.359,7,I
11,0.7,0.5455,6,I
77,0.5132,0.3896,7,I
25,0.625,0.48,7,I
42,0.561,0.4286,7,I
40,0.5128,0.4,6,I
34,0.6061,0.4706,8,I
